,Samplingpoint,Pollutant,Start,Value,Unit
2080,IT/SPO-IT0466A_00005_500,5,2003-10-13,65.0,ug.m-3
2081,IT/SPO-IT0466A_00005_500,5,2003-10-14,35.0,ug.m-3
2082,IT/SPO-IT0466A_00005_500,5,2003-10-15,31.0,ug.m-3
2083,IT/SPO-IT0466A_00005_500,5,2003-10-16,40.0,ug.m-3
2084,IT/SPO-IT0466A_00005_500,5,2003-10-17,36.0,ug.m-3
2085,IT/SPO-IT0466A_00005_500,5,2003-10-18,37.0,ug.m-3
2086,IT/SPO-IT0466A_00005_500,5,2003-10-19,47.0,ug.m-3
2087,IT/SPO-IT0466A_00005_500,5,2003-10-20,35.0,ug.m-3
2088,IT/SPO-IT0466A_00005_500,5,2003-10-21,53.0,ug.m-3
2089,IT/SPO-IT0466A_00005_500,5,2003-10-22,54.0,ug.m-3
2090,IT/SPO-IT0466A_00005_500,5,2003-10-23,18.0,ug.m-3
2091,IT/SPO-IT0466A_00005_500,5,2003-10-24,32.0,ug.m-3
2092,IT/SPO-IT0466A_00005_500,5,2003-10-25,19.0,ug.m-3
2093,IT/SPO-IT0466A_00005_500,5,2003-10-26,37.0,ug.m-3
2094,IT/SPO-IT0466A_00005_500,5,2003-10-27,29.0,ug.m-3
2095,IT/SPO-IT0466A_00005_500,5,2003-10-28,50.0,ug.m-3
2096,IT/SPO-IT0466A_00005_500,5,2003-10-29,37.0,ug.m-3
2097,IT/SPO-IT0466A_00005_500,5,2003-10-30,40.0,ug.m-3
2098,IT/SPO-IT0466A_00005_500,5,2003-10-31,24.0,ug.m-3
2099,IT/SPO-IT0466A_00005_500,5,2003-11-01,39.0,ug.m-3
2100,IT/SPO-IT0466A_00005_500,5,2003-11-02,39.0,ug.m-3
2101,IT/SPO-IT0466A_00005_500,5,2003-11-03,64.0,ug.m-3
2102,IT/SPO-IT0466A_00005_500,5,2003-11-04,111.0,ug.m-3
2103,IT/SPO-IT0466A_00005_500,5,2003-11-05,89.0,ug.m-3
2104,IT/SPO-IT0466A_00005_500,5,2003-11-06,54.0,ug.m-3
2105,IT/SPO-IT0466A_00005_500,5,2003-11-07,29.0,ug.m-3
2106,IT/SPO-IT0466A_00005_500,5,2003-11-08,14.0,ug.m-3
2107,IT/SPO-IT0466A_00005_500,5,2003-11-09,24.0,ug.m-3
2108,IT/SPO-IT0466A_00005_500,5,2003-11-10,88.0,ug.m-3
2109,IT/SPO-IT0466A_00005_500,5,2003-11-11,34.0,ug.m-3
2110,IT/SPO-IT0466A_00005_500,5,2003-11-12,35.0,ug.m-3
2111,IT/SPO-IT0466A_00005_500,5,2003-11-13,51.0,ug.m-3
2112,IT/SPO-IT0466A_00005_500,5,2003-11-14,117.0,ug.m-3
2113,IT/SPO-IT0466A_00005_500,5,2003-11-15,90.0,ug.m-3
2114,IT/SPO-IT0466A_00005_500,5,2003-11-16,66.0,ug.m-3
2115,IT/SPO-IT0466A_00005_500,5,2003-11-17,40.0,ug.m-3
2116,IT/SPO-IT0466A_00005_500,5,2003-11-18,93.0,ug.m-3
2117,IT/SPO-IT0466A_00005_500,5,2003-11-19,83.0,ug.m-3
2118,IT/SPO-IT0466A_00005_500,5,2003-11-20,73.0,ug.m-3
2119,IT/SPO-IT0466A_00005_500,5,2003-11-21,60.0,ug.m-3
2120,IT/SPO-IT0466A_00005_500,5,2003-11-22,58.0,ug.m-3
2121,IT/SPO-IT0466A_00005_500,5,2003-11-23,45.0,ug.m-3
2122,IT/SPO-IT0466A_00005_500,5,2003-11-24,41.0,ug.m-3
2123,IT/SPO-IT0466A_00005_500,5,2003-11-25,51.0,ug.m-3
2124,IT/SPO-IT0466A_00005_500,5,2003-11-26,39.0,ug.m-3
2125,IT/SPO-IT0466A_00005_500,5,2003-11-27,26.0,ug.m-3
2126,IT/SPO-IT0466A_00005_500,5,2003-11-28,26.0,ug.m-3
2127,IT/SPO-IT0466A_00005_500,5,2003-11-29,71.0,ug.m-3
2128,IT/SPO-IT0466A_00005_500,5,2003-11-30,74.0,ug.m-3
2129,IT/SPO-IT0466A_00005_500,5,2003-12-01,24.0,ug.m-3
2130,IT/SPO-IT0466A_00005_500,5,2003-12-02,21.0,ug.m-3
2131,IT/SPO-IT0466A_00005_500,5,2003-12-03,38.0,ug.m-3
2132,IT/SPO-IT0466A_00005_500,5,2003-12-04,38.0,ug.m-3
